adim,fuel,fan,sicaklik,o2,efficiency
255,13.597,1016.2,1410.66,6.414,0.45
256,13.561,1013.3,1411.0,6.402,0.45
257,13.653,1013.7,1411.17,6.383,0.45
258,13.556,1016.2,1411.25,6.383,0.45
259,13.655,1015.7,1411.24,6.371,0.45
260,13.574,1012.5,1411.28,6.368,0.45
261,13.688,1007.6,1411.24,6.346,0.45
262,13.516,1008.5,1411.23,6.351,0.45
263,13.491,1008.7,1411.28,6.358,0.45
264,13.332,1007.4,1411.58,6.381,0.45
265,13.406,1005.4,1411.97,6.387,0.45
266,13.47,1004.8,1412.34,6.383,0.45
267,13.685,1005.9,1412.4,6.356,0.45
268,13.855,1004.9,1412.12,6.314,0.45
269,13.725,1010.5,1411.62,6.305,0.45
270,13.592,1009.9,1411.23,6.313,0.45
271,13.761,1009.8,1410.73,6.299,0.45
272,13.786,1012.3,1410.1,6.289,0.45
273,13.623,1010.7,1409.62,6.298,0.45
274,13.636,1012.4,1409.18,6.306,0.45
275,13.576,1007.9,1408.93,6.313,0.45
276,13.634,1006.2,1408.7,6.31,0.45
277,13.419,1002.4,1408.75,6.328,0.45
278,13.494,1003.1,1408.84,6.334,0.45
279,13.613,998.8,1408.92,6.32,0.45
280,13.51,998.0,1409.04,6.32,0.45
281,13.679,997.5,1408.96,6.3,0.45
282,13.65,1001.1,1408.71,6.292,0.45
283,13.372,999.7,1408.76,6.317,0.45
284,13.338,997.3,1409.05,6.338,0.45
285,13.434,997.5,1409.35,6.342,0.45
286,13.58,999.2,1409.49,6.33,0.45
287,13.547,1001.8,1409.52,6.327,0.45
288,13.562,1000.1,1409.56,6.322,0.45
289,13.578,1000.0,1409.52,6.316,0.45
290,13.581,1001.8,1409.42,6.313,0.45
291,13.832,1003.8,1409.02,6.284,0.45
292,13.961,1000.1,1408.34,6.242,0.45
293,13.987,996.6,1407.45,6.204,0.45
294,13.989,995.6,1406.34,6.174,0.45
295,13.83,993.2,1405.26,6.167,0.45
296,13.918,994.1,1404.07,6.153,0.45
297,13.819,992.9,1402.97,6.153,0.45
298,13.691,989.2,1402.12,6.163,0.45
299,13.658,988.4,1401.42,6.174,0.45
300,13.614,990.0,1400.84,6.189,0.45
301,13.71,994.0,1400.23,6.194,0.45
302,13.808,993.2,1399.59,6.185,0.45
303,13.89,988.7,1398.92,6.163,0.45
304,14.052,987.8,1397.99,6.127,0.45
305,14.014,985.3,1396.93,6.101,0.45
306,13.994,982.2,1395.81,6.081,0.45
307,13.956,984.9,1394.58,6.073,0.45
308,13.918,989.3,1393.34,6.077,0.45
309,14.075,989.4,1392.0,6.061,0.45
310,14.129,988.1,1390.56,6.042,0.45
311,14.067,991.0,1389.07,6.038,0.45
312,14.181,990.3,1387.51,6.02,0.4511
313,14.12,988.8,1385.99,6.013,0.452
314,14.007,991.5,1384.58,6.024,0.4521
315,14.044,991.2,1383.27,6.027,0.4525
316,13.919,990.1,1382.21,6.043,0.4524
317,13.816,988.2,1381.44,6.065,0.4519
318,13.835,989.1,1380.81,6.08,0.4516
319,14.004,986.3,1380.17,6.068,0.4523
320,14.174,986.6,1379.28,6.04,0.4537
321,14.223,983.6,1378.26,6.009,0.4552
322,14.366,984.3,1376.92,5.97,0.4573
323,14.213,982.3,1375.56,5.957,0.4584
324,14.223,984.2,1374.14,5.948,0.4594
325,14.394,981.1,1372.58,5.917,0.4613
326,14.448,981.5,1370.81,5.888,0.4632
327,14.449,980.9,1368.93,5.866,0.4649
328,14.414,980.4,1367.02,5.853,0.4663
329,14.299,978.5,1365.23,5.854,0.4669
330,14.423,978.7,1363.4,5.841,0.4683
331,14.337,978.6,1361.67,5.841,0.469
332,14.198,980.1,1360.16,5.859,0.4688
333,14.059,980.7,1358.97,5.889,0.468
334,13.816,983.7,1358.27,5.945,0.466
335,13.785,984.3,1357.98,5.99,0.4642
336,13.869,985.1,1357.9,6.016,0.4633
337,14.038,984.8,1357.84,6.014,0.4634
338,14.118,982.5,1357.73,6.001,0.4639
339,13.913,986.6,1357.69,6.02,0.4632
340,13.953,991.9,1357.66,6.036,0.4626
341,13.98,990.7,1357.71,6.043,0.4623
342,14.119,990.1,1357.69,6.032,0.4627
343,14.239,986.6,1357.5,6.005,0.4639
344,14.124,992.0,1357.17,6.005,0.464
345,14.145,987.5,1356.88,5.997,0.4644
346,14.275,985.4,1356.42,5.973,0.4656
347,14.138,985.7,1355.95,5.971,0.4658
348,14.167,986.1,1355.47,5.967,0.4662
349,14.336,989.4,1354.77,5.948,0.4672
350,14.457,990.6,1353.85,5.921,0.4687
351,14.182,989.0,1353.07,5.931,0.4686
352,14.187,993.0,1352.33,5.943,0.4684
353,14.294,993.1,1351.6,5.94,0.4689
354,14.293,992.8,1350.89,5.937,0.4693
355,14.123,993.9,1350.37,5.956,0.4687
356,14.14,994.1,1349.96,5.968,0.4684
357,14.439,997.4,1349.3,5.946,0.4696
358,14.447,994.0,1348.57,5.925,0.4708
359,14.187,991.3,1348.03,5.936,0.4705
360,13.995,992.6,1347.77,5.969,0.4693
361,13.854,995.9,1347.86,6.014,0.4674
362,13.771,996.1,1348.35,6.058,0.4655
363,13.821,996.7,1349.02,6.085,0.4642
364,13.916,994.0,1349.78,6.092,0.4637
365,13.977,987.6,1350.59,6.082,0.4637
366,14.033,988.1,1351.24,6.068,0.4639
367,14.03,985.2,1351.79,6.055,0.4642
368,13.769,988.3,1352.46,6.08,0.463
369,13.8,982.6,1353.35,6.088,0.4624
370,13.691,982.2,1354.38,6.106,0.4613
371,13.759,983.7,1355.36,6.114,0.4606
372,13.955,985.7,1356.11,6.099,0.4608
373,14.054,986.6,1356.58,6.077,0.4615
374,14.049,985.8,1356.9,6.06,0.462
375,13.946,984.4,1357.23,6.058,0.4619
376,14.147,983.2,1357.34,6.032,0.4629
377,14.101,984.3,1357.31,6.018,0.4634
378,14.236,988.7,1356.99,5.998,0.4644
379,14.387,984.3,1356.45,5.959,0.4661
380,14.501,988.6,1355.46,5.922,0.4681
381,14.44,990.1,1354.32,5.903,0.4693
382,14.412,991.2,1353.1,5.893,0.4703
383,14.498,985.9,1351.85,5.869,0.4718
384,14.402,985.8,1350.63,5.863,0.4726
385,14.259,985.0,1349.6,5.874,0.4725
386,14.294,987.0,1348.61,5.88,0.4726
387,14.083,988.5,1347.9,5.912,0.4716
388,13.992,988.2,1347.55,5.946,0.4703
389,13.928,990.2,1347.47,5.981,0.4689
390,13.847,992.9,1347.7,6.021,0.4672
391,13.913,994.8,1348.1,6.044,0.4661
392,13.867,997.3,1348.67,6.071,0.4649
393,14.036,993.8,1349.25,6.066,0.4648
394,13.95,996.4,1349.83,6.076,0.4642
395,13.935,998.6,1350.45,6.088,0.4635
396,14.08,995.6,1351.0,6.076,0.4637
397,14.161,991.1,1351.4,6.052,0.4645
398,14.293,989.6,1351.52,6.018,0.4658
399,14.123,985.4,1351.62,6.006,0.4662
400,14.293,985.5,1351.45,5.978,0.4674
401,14.145,985.2,1351.24,5.974,0.4676
402,14.143,983.4,1351.04,5.969,0.4679
403,13.921,984.4,1351.04,5.993,0.467
404,13.931,986.6,1351.16,6.012,0.4662
405,13.828,984.0,1351.55,6.035,0.4651
406,13.888,985.7,1352.0,6.048,0.4644
407,13.795,983.2,1352.64,6.065,0.4635
408,13.686,983.7,1353.49,6.092,0.4621
409,13.766,979.5,1354.47,6.097,0.4615
410,14.075,981.0,1355.11,6.067,0.4624
411,14.103,979.0,1355.5,6.038,0.4634
412,14.214,983.9,1355.51,6.01,0.4645
413,14.188,986.0,1355.31,5.994,0.4652
414,14.028,986.8,1355.17,6.001,0.4649
415,14.025,984.8,1355.09,6.005,0.4648
416,14.118,987.0,1354.92,6.0,0.4651
417,14.133,991.0,1354.63,5.998,0.4653
418,14.173,989.3,1354.33,5.991,0.4657
419,14.018,989.2,1354.16,6.003,0.4653
420,14.145,988.7,1353.93,5.997,0.4656
421,14.162,988.8,1353.66,5.99,0.466
422,14.184,990.3,1353.35,5.984,0.4664
423,14.199,989.8,1353.0,5.978,0.4668
424,14.106,987.2,1352.78,5.981,0.4667
425,14.243,989.6,1352.4,5.97,0.4673
426,14.022,986.0,1352.23,5.983,0.4669
427,14.094,983.5,1352.11,5.982,0.467
428,14.208,984.6,1351.87,5.969,0.4676
429,14.187,985.0,1351.57,5.962,0.468
430,14.146,983.2,1351.3,5.959,0.4682
431,14.299,983.3,1350.86,5.94,0.4692
432,14.028,982.8,1350.6,5.956,0.4686
433,14.095,978.8,1350.46,5.956,0.4687
434,14.005,973.6,1350.49,5.96,0.4685
435,13.754,972.5,1350.83,5.992,0.4671
436,13.634,971.4,1351.5,6.029,0.4654
437,13.598,972.1,1352.43,6.061,0.4637
438,13.506,971.5,1353.62,6.096,0.4619
439,13.64,974.4,1354.82,6.109,0.461
440,13.66,974.4,1356.05,6.117,0.4602
441,13.681,972.7,1357.27,6.118,0.4597
442,13.759,972.1,1358.38,6.109,0.4595
443,13.906,971.8,1359.24,6.085,0.4601
444,13.908,972.8,1359.86,6.068,0.4605
445,13.784,968.3,1360.53,6.064,0.4603
446,13.817,965.3,1361.16,6.054,0.4605
447,13.654,965.1,1361.84,6.066,0.4598
448,13.774,967.6,1362.39,6.063,0.4596
449,13.664,970.2,1362.97,6.077,0.4589
450,13.775,971.6,1363.48,6.076,0.4587
