second,temp,o2,fuel,fan,error,pressure
46,1449.7376742734978,2.0340293446285425,19.76135053048729,900.2873696371543,0.2623257265022403,-2.234329978146093
47,1449.7464184878027,1.9995710059136642,19.76135053048729,900.2873696371543,0.2535815121973428,-2.2071210322000203
48,1449.743930995021,2.000154858727466,19.76135053048729,900.2873696371543,0.2560690049790537,-2.196065755212966
49,1449.7441660636998,2.0052210511059987,19.76135053048729,900.2873696371543,0.2558339363001778,-2.213096360679695
50,1449.7389045914529,2.0084878283292973,20.17855955091277,900.3679715318112,0.26109540854713487,-2.2119876064857107
51,1449.7286968525025,2.010352991060676,20.17855955091277,900.3679715318112,0.2713031474975196,-2.2070484603217357
52,1449.710470231574,2.014471139142166,20.17855955091277,900.3679715318112,0.28952976842606404,-2.1770230867024623
53,1449.7012519002774,1.9972256882996027,20.17855955091277,900.3679715318112,0.29874809972261573,-2.1611822816899764
54,1449.7011008448121,1.9775807365476308,20.17855955091277,900.3679715318112,0.29889915518788257,-2.1420274498508136
55,1449.7161229817546,1.9825031982033117,20.17855955091277,900.3679715318112,0.2838770182454482,-2.1344547592417538
56,1449.7217565610226,1.96951733767147,20.17855955091277,900.3679715318112,0.2782434389773698,-2.1398743496429073
57,1449.7292534708336,1.96269804474328,20.17855955091277,900.3679715318112,0.2707465291664448,-2.1565088481156014
58,1449.7357096789347,1.971083253868696,20.17855955091277,900.3679715318112,0.2642903210653458,-2.158328500972362
59,1449.7629348192097,1.9664810494934604,20.17855955091277,900.3679715318112,0.23706518079029593,-2.138980020964308
60,1449.7774940224385,1.9499042777616944,20.560701220173396,900.4499675055307,0.22250597756146817,-2.1283513089281962
61,1449.7955643582748,1.940353218931617,20.560701220173396,900.4499675055307,0.2044356417252402,-2.122515797413802
62,1449.804134896792,1.9349620624597814,20.560701220173396,900.4499675055307,0.19586510320800699,-2.1182723728422586
63,1449.818254515512,1.9250653824729416,20.560701220173396,900.4499675055307,0.18174548448791938,-2.1444716273332385
64,1449.8316260554432,1.9023278692545322,20.560701220173396,900.4499675055307,0.16837394455683352,-2.1501509808979353
65,1449.844206303196,1.8825269129247175,20.560701220173396,900.4499675055307,0.15579369680403943,-2.1482016864132816
66,1449.8577464494163,1.8600641955313242,20.560701220173396,900.4499675055307,0.1422535505837459,-2.149522918395077
67,1449.8776703079145,1.8709468887748142,20.560701220173396,900.4499675055307,0.12232969208548639,-2.1439772482107484
68,1449.8987107674793,1.859206384996123,20.560701220173396,900.4499675055307,0.10128923252068489,-2.1662650840094537
69,1449.9474002490028,1.8641166335014847,20.560701220173396,900.4499675055307,0.0525997509971603,-2.1652325089660223
70,1449.996403973918,1.8821717569874843,20.614588872946467,900.5199787970033,0.00359602608205023,-2.158044663766914
71,1450.0441149053631,1.8810922953065836,20.614588872946467,900.5199787970033,0.044114905363130674,-2.148668611363752
72,1450.0807723040991,1.87659091024899,20.614588872946467,900.5199787970033,0.08077230409912772,-2.1607193416542225
73,1450.0969784326128,1.9096429522150327,20.614588872946467,900.5199787970033,0.09697843261278649,-2.1641465625489484
74,1450.1069643002074,1.8918650019266425,20.614588872946467,900.5199787970033,0.10696430020743719,-2.1563181385376557
75,1450.106816166603,1.8874983787895507,20.614588872946467,900.5199787970033,0.10681616660303916,-2.1403345930467763
76,1450.1008334725507,1.8956948893117973,20.614588872946467,900.5199787970033,0.10083347255067565,-2.1505053101338665
